date,time,min price,num tickets left
10/5/21,20:45,152,227
10/5/21,21:15,150,225
10/5/21,21:45,150,223
10/6/21,7:55,150,174
10/6/21,8:27,150,172
10/6/21,8:57,150,172
10/6/21,9:27,150,172
10/6/21,9:57,150,172
10/6/21,10:28,150,172
10/6/21,10:58,150,172
10/6/21,11:27,150,172
10/6/21,11:58,150,172
10/6/21,12:10,150,172
10/6/21,12:40,150,172
10/6/21,13:10,150,172
10/6/21,13:40,150,172
10/6/21,14:10,150,172
10/6/21,14:40,150,170
10/6/21,15:11,150,169
10/6/21,15:41,150,169
10/6/21,16:11,150,168
10/6/21,16:41,150,167
10/6/21,17:11,150,167
10/6/21,17:41,140,68
10/6/21,18:11,150,64
10/6/21,18:41,150,59
10/6/21,19:12,150,59
10/6/21,22:14,149,52
10/6/21,22:44,149,102
10/6/21,23:14,150,99
10/6/21,23:44,150,97
10/7/21,0:14,150,95
10/7/21,0:45,150,96
10/7/21,1:15,150,96
10/7/21,1:45,150,95
10/7/21,2:15,150,95
10/7/21,2:45,150,95
10/7/21,3:15,150,95
10/7/21,3:45,150,95
10/7/21,4:15,150,95
10/7/21,4:45,150,95
10/7/21,5:16,150,95
10/7/21,5:46,150,95
10/7/21,6:16,150,95
10/7/21,6:46,150,94
10/7/21,7:16,150,94
10/7/21,7:46,150,93
10/7/21,8:16,149.97,92
10/7/21,8:46,149.97,91
10/7/21,9:16,149.97,91
10/7/21,9:47,155,89
10/7/21,10:17,154,94
10/7/21,10:47,155,84
10/7/21,11:17,154,91
10/7/21,11:47,154,91
10/7/21,12:17,154,86
10/7/21,12:31,155,83
10/7/21,13:01,150,80
10/7/21,13:31,150,79
10/7/21,14:01,148.77,86
10/7/21,14:31,146.69,81
10/7/21,15:01,152.88,73
10/7/21,15:31,152.88,78
10/7/21,16:01,152.88,78
10/7/21,16:31,150,82
10/7/21,17:01,150,79
10/7/21,17:31,150,80
10/7/21,18:01,145.88,77
10/7/21,18:31,140,74
10/7/21,19:01,140,62
10/7/21,19:31,165,57
10/7/21,20:01,165,55
10/7/21,20:31,165,52
10/7/21,21:01,165,52
10/7/21,21:31,165,50
10/7/21,22:01,169,48
10/7/21,22:31,169,47
10/7/21,23:01,165,93
10/7/21,23:32,159,93
10/8/21,0:02,159,93
10/8/21,0:32,159,93
10/8/21,1:02,159,93
10/8/21,1:32,159,93
10/8/21,2:02,155,96
10/8/21,2:32,155,96
10/8/21,3:02,155,96
10/8/21,3:32,155,96
10/8/21,4:02,155,96
10/8/21,4:32,155,96
10/8/21,5:02,155,96
10/8/21,5:32,155,96
10/8/21,6:02,155,96
10/8/21,6:32,155,98
10/8/21,7:02,155,98
10/8/21,7:32,155,96
10/8/21,8:02,154,95
10/8/21,8:32,154,94
10/8/21,9:02,154,93
10/8/21,9:32,155,91
10/8/21,9:45,155,91
10/8/21,10:15,155,93
10/8/21,10:45,155,88
10/8/21,11:15,159,84
10/8/21,11:45,159,82
10/8/21,12:15,159,80
10/8/21,12:45,159,72
10/8/21,13:15,155,84
10/8/21,13:45,140,97
10/8/21,14:15,145,88
10/8/21,14:45,145,85
10/8/21,15:15,140,81
10/8/21,15:45,140,81
10/8/21,16:15,125,77
10/8/21,16:45,125,69
10/8/21,17:15,145,64
10/8/21,17:45,145,61
10/8/21,18:15,145,106
10/8/21,18:45,145,104
10/8/21,19:15,144,100
10/8/21,19:45,144,100
10/8/21,20:15,139.88,97
10/8/21,20:45,139.99,97
10/8/21,21:16,139.99,96
10/8/21,21:46,139.99,84
10/8/21,22:16,139.99,82
10/8/21,22:46,139,81
10/8/21,23:16,135,81
10/8/21,23:46,135,79
10/9/21,0:16,140,76
10/9/21,0:46,140,73
10/9/21,1:16,140,72
10/9/21,1:46,140,67
10/9/21,2:16,140,66
10/9/21,2:47,139,66
10/9/21,3:17,139,65
10/9/21,3:47,139,65
10/9/21,4:17,140,64
10/9/21,4:47,140,63
10/9/21,5:17,140,60
10/9/21,5:47,140,60
10/9/21,6:17,140,60
10/9/21,6:47,140,60
10/9/21,7:17,140,60
10/9/21,7:43,140,60
10/9/21,7:58,140,59
10/9/21,8:13,140,59
10/9/21,8:28,140,59
10/9/21,8:43,140,59
10/9/21,8:59,140,59
10/9/21,9:14,140,59
10/9/21,9:29,140,59
10/9/21,9:44,140,58
10/9/21,9:59,140,58
10/9/21,10:14,140,58
10/9/21,10:29,140,58
10/9/21,10:44,140,58
10/9/21,10:59,140,58
10/9/21,12:13,140,57
10/9/21,12:28,140,57
10/9/21,12:43,140,57
10/9/21,12:58,140,64
10/9/21,13:13,140,63
10/9/21,13:28,135,100
10/9/21,13:43,135,96
10/9/21,13:58,135,91
10/9/21,14:13,135,85
10/9/21,14:28,135,82
10/9/21,14:43,135,77
10/9/21,14:58,135,70
10/9/21,15:13,135,67
10/9/21,15:28,135,65
10/9/21,15:43,135,61
10/9/21,15:58,135,55
10/9/21,16:13,140,49
10/9/21,16:28,135,49
10/9/21,16:43,135,43
10/9/21,16:58,135,41
10/9/21,17:13,135,35
10/9/21,17:28,129,90
10/9/21,17:44,125,88
10/9/21,17:59,120,88
10/9/21,18:14,100,84
10/9/21,18:29,120,82
10/9/21,18:44,120,82
10/9/21,18:59,120,80